hashtag	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset
slavaukraini	 1120633726478823425	19.62	.05	.0025477	1	19	10	3925
standwithukraine	 1120633726478823425	7.00	.10	.0142675	2	19	56	3925
ukraineunderattack	 1120633726478823425	49.06	.05	.0010191	1	19	4	3925
liberalcorruptionparty	 1189799454506799104	981.54	.25	.0002547	1	4	1	3925
nationals	 1189799454506799104	981.54	.25	.0002547	1	4	1	3925
killthebill	 1189799454506799104	981.54	.25	.0002547	1	4	1	3925
religiousdiscriminationbill	 1189799454506799104	327.09	.25	.0007643	1	4	3	3925
rubyprincess	 1218721688738615297	1295.64	.33	.0002547	1	3	1	3925
federalicac	 1218721688738615297	143.92	.33	.0022929	1	3	9	3925
scottytheworstprimeministerever	 1218721688738615297	431.76	.33	.0007643	1	3	3	3925
denmark	 1237314642583658496	91.58	.07	.0007643	1	13	3	3925
omikron	 1237314642583658496	137.38	.07	.0005095	1	13	2	3925
omicron	 1237314642583658496	11.94	.07	.0058598	1	13	23	3925
ba2	 1237314642583658496	39.25	.07	.0017834	1	13	7	3925
endemic	 1237314642583658496	274.83	.07	.0002547	1	13	1	3925
covidelimination	 1237314642583658496	274.83	.07	.0002547	1	13	1	3925
nocovid	 1237314642583658496	274.83	.07	.0002547	1	13	1	3925
zerocovid	 1237314642583658496	91.58	.07	.0007643	1	13	3	3925
covid19	 1237314642583658496	3.52	.07	.0198726	1	13	78	3925
keepmasks	 1237314642583658496	274.83	.07	.0002547	1	13	1	3925
vaccinate	 1237314642583658496	22.89	.07	.0030573	1	13	12	3925
longcovid	 1237314642583658496	3.12	.07	.0224203	1	13	88	3925
hepammmmmmis	 1237314642583658496	274.83	.07	.0002547	1	13	1	3925
murdoch	 1238370241169616897	6.54	.02	.0030573	1	37	12	3925
morrison	 1238370241169616897	7.54	.05	.0066242	2	37	26	3925
joyce	 1238370241169616897	98.13	.05	.0005095	2	37	2	3925
morrison	 1238370241169616897	7.54	.05	.0066242	2	37	26	3925
joyce	 1238370241169616897	98.13	.05	.0005095	2	37	2	3925
abusiveavi	 1238370241169616897	78.52	.02	.0002547	1	37	1	3925
auspol	 1238370241169616897	3.41	.16	.0468789	6	37	184	3925
auspol	 1238370241169616897	3.41	.16	.0468789	6	37	184	3925
lnpdisgrace	 1238370241169616897	7.85	.02	.0025477	1	37	10	3925
ausvotes	 1238370241169616897	11.89	.10	.0084076	4	37	33	3925
auspol	 1238370241169616897	3.41	.16	.0468789	6	37	184	3925
gutlessscomo	 1238370241169616897	104.66	.32	.0030573	12	37	12	3925
gutlessscomo	 1238370241169616897	104.66	.32	.0030573	12	37	12	3925
gutlessscomo	 1238370241169616897	104.66	.32	.0030573	12	37	12	3925
gutlessscomo	 1238370241169616897	104.66	.32	.0030573	12	37	12	3925
gutlessscomo	 1238370241169616897	104.66	.32	.0030573	12	37	12	3925
gutlessscomo	 1238370241169616897	104.66	.32	.0030573	12	37	12	3925
gutlessscomo	 1238370241169616897	104.66	.32	.0030573	12	37	12	3925
gutlessscomo	 1238370241169616897	104.66	.32	.0030573	12	37	12	3925
gutlessscomo	 1238370241169616897	104.66	.32	.0030573	12	37	12	3925
gutlessscomo	 1238370241169616897	104.66	.32	.0030573	12	37	12	3925
gutlessscomo	 1238370241169616897	104.66	.32	.0030573	12	37	12	3925
gutlessscomo	 1238370241169616897	104.66	.32	.0030573	12	37	12	3925
gaffe	 1238370241169616897	78.52	.02	.0002547	1	37	1	3925
alboforpm	 1238370241169616897	6.68	.08	.0119745	3	37	47	3925
ausvotes2022	 1238370241169616897	6.54	.02	.0030573	1	37	12	3925
auspol	 1238370241169616897	3.41	.16	.0468789	6	37	184	3925
ausvotes	 1238370241169616897	11.89	.10	.0084076	4	37	33	3925
alboforpm	 1238370241169616897	6.68	.08	.0119745	3	37	47	3925
alboforpm	 1238370241169616897	6.68	.08	.0119745	3	37	47	3925
cashlesswelfarecard	 1238370241169616897	39.25	.02	.0005095	1	37	2	3925
cashlessdebitcard	 1238370241169616897	78.52	.02	.0002547	1	37	1	3925
election2022	 1238370241169616897	19.62	.02	.0010191	1	37	4	3925
ausvotes	 1238370241169616897	11.89	.10	.0084076	4	37	33	3925
auspol22	 1238370241169616897	39.25	.02	.0005095	1	37	2	3925
auspol	 1238370241169616897	3.41	.16	.0468789	6	37	184	3925
albo4pm	 1238370241169616897	13.08	.02	.0015286	1	37	6	3925
mongol	 1238583088998830081	196.30	.05	.0002547	1	20	1	3925
westandwithukraine	 1238583088998830081	65.41	.05	.0007643	1	20	3	3925
stoprussia	 1238583088998830081	28.03	.05	.0017834	1	20	7	3925
stopwar	 1238583088998830081	98.13	.05	.0005095	1	20	2	3925
stopputin	 1238583088998830081	19.62	.05	.0025477	1	20	10	3925
ukraine	 1238583088998830081	9.81	.40	.0407643	8	20	160	3925
russianoilandgas	 1238583088998830081	196.30	.05	.0002547	1	20	1	3925
shutdownputin	 1238583088998830081	196.30	.05	.0002547	1	20	1	3925
cleanenergy	 1238583088998830081	196.30	.05	.0002547	1	20	1	3925
shutdownoligarchs	 1238583088998830081	196.30	.05	.0002547	1	20	1	3925
russianmilitary	 1238583088998830081	196.30	.05	.0002547	1	20	1	3925
putinswar	 1238583088998830081	32.70	.05	.0015286	1	20	6	3925
russiainvadedukraine	 1238583088998830081	98.13	.05	.0005095	1	20	2	3925
mariupol	 1238583088998830081	39.25	.05	.0012738	1	20	5	3925
standwithukraine	 1238583088998830081	7.00	.10	.0142675	2	20	56	3925
ukraineanimalsneedingrescue	 1238583088998830081	196.30	.05	.0002547	1	20	1	3925
ukraineanimals	 1238583088998830081	196.27	.10	.0005095	2	20	2	3925
ukrainepets	 1238583088998830081	196.30	.05	.0002547	1	20	1	3925
catsofukraine	 1238583088998830081	196.30	.05	.0002547	1	20	1	3925
catsneedingrescue	 1238583088998830081	196.30	.05	.0002547	1	20	1	3925
scomicron	 1238949674989416449	235.52	.12	.0005095	1	8	2	3925
domicrom	 1238949674989416449	471.14	.12	.0002547	1	8	1	3925
covidisairborne	 1238949674989416449	31.40	.12	.0038216	1	8	15	3925
covidisnotover	 1238949674989416449	60.51	.37	.0061146	3	8	24	3925
covidisnotover	 1238949674989416449	60.51	.37	.0061146	3	8	24	3925
covidisnotover	 1238949674989416449	60.51	.37	.0061146	3	8	24	3925
covidisntover	 1238949674989416449	235.52	.12	.0005095	1	8	2	3925
socialmurder	 1238949674989416449	471.14	.12	.0002547	1	8	1	3925
covid19	 1247612029	16.60	.33	.0198726	1	3	78	3925
bidenboom	 1247612029	647.63	.66	.0010191	2	3	4	3925
bidenboom	 1247612029	647.63	.66	.0010191	2	3	4	3925
kochnetwork	 1268223690480615424	70.65	.09	.0012738	1	11	5	3925
covid19	 1268223690480615424	4.52	.09	.0198726	1	11	78	3925
getboosted	 1268223690480615424	117.75	.09	.0007643	1	11	3	3925
russia	 1268223690480615424	4.47	.09	.0201273	1	11	79	3925
ukraine	 1268223690480615424	2.20	.09	.0407643	1	11	160	3925
war	 1268223690480615424	5.04	.09	.0178343	1	11	70	3925
votebluetosaveamerica	 1268223690480615424	44.15	.09	.0020382	1	11	8	3925
expandthecourt	 1268223690480615424	117.75	.09	.0007643	1	11	3	3925
usps	 1268223690480615424	176.64	.09	.0005095	1	11	2	3925
votebluein2022	 1268223690480615424	39.25	.09	.0022929	1	11	9	3925
idahogop	 1268223690480615424	353.35	.09	.0002547	1	11	1	3925
iowa	 1280478731874848769	117.75	.09	.0007643	1	11	3	3925
republicans	 1280478731874848769	70.65	.09	.0012738	1	11	5	3925
ialegislature	 1280478731874848769	353.35	.09	.0002547	1	11	1	3925
valnotmarco	 1280478731874848769	353.35	.09	.0002547	1	11	1	3925
valdemings	 1280478731874848769	176.64	.09	.0005095	1	11	2	3925
florida	 1280478731874848769	58.87	.09	.0015286	1	11	6	3925
bidenstrong	 1280478731874848769	353.35	.09	.0002547	1	11	1	3925
resistance	 1280478731874848769	117.75	.09	.0007643	1	11	3	3925
voteblue2022	 1280478731874848769	50.46	.09	.0017834	1	11	7	3925
votebluetosaveamerica	 1280478731874848769	44.15	.09	.0020382	1	11	8	3925
maskup	 1280478731874848769	50.46	.09	.0017834	1	11	7	3925
wirwollenmaskenpflicht	 1319916075476262914	279.65	.57	.0020382	4	7	8	3925
diemaskebleibtauf	 1319916075476262914	183.17	.42	.0022929	3	7	9	3925
wirwollenmaskenpflicht	 1319916075476262914	279.65	.57	.0020382	4	7	8	3925
diemaskebleibtauf	 1319916075476262914	183.17	.42	.0022929	3	7	9	3925
wirwollenmaskenpflicht	 1319916075476262914	279.65	.57	.0020382	4	7	8	3925
diemaskebleibtauf	 1319916075476262914	183.17	.42	.0022929	3	7	9	3925
wirwollenmaskenpflicht	 1319916075476262914	279.65	.57	.0020382	4	7	8	3925
lauterbachbleibt	 1330859882040463362	122.65	.25	.0020382	2	8	8	3925
dankekarl	 1330859882040463362	117.75	.12	.0010191	1	8	4	3925
lauterbachbleibt	 1330859882040463362	122.65	.25	.0020382	2	8	8	3925
solidaritätmitkarl	 1330859882040463362	235.52	.12	.0005095	1	8	2	3925
diemaskebleibtauf	 1330859882040463362	109.03	.25	.0022929	2	8	9	3925
wirwollenmaskenpflicht	 1330859882040463362	122.65	.25	.0020382	2	8	8	3925
diemaskebleibtauf	 1330859882040463362	109.03	.25	.0022929	2	8	9	3925
wirwollenmaskenpflicht	 1330859882040463362	122.65	.25	.0020382	2	8	8	3925
shamelessselfpromo	 1335983975613939712	117.78	.03	.0002547	1	28	1	3925
horrorcommunity	 1335983975613939712	117.78	.03	.0002547	1	28	1	3925
paranormal	 1335983975613939712	117.78	.03	.0002547	1	28	1	3925
authorsoftwitter	 1335983975613939712	130.83	.10	.0007643	3	28	3	3925
ghoststory	 1335983975613939712	117.78	.03	.0002547	1	28	1	3925
kdp	 1335983975613939712	117.78	.03	.0002547	1	28	1	3925
kindle	 1335983975613939712	130.83	.10	.0007643	3	28	3	3925
writerslift	 1335983975613939712	130.83	.10	.0007643	3	28	3	3925
hauntedhouse	 1335983975613939712	117.78	.03	.0002547	1	28	1	3925
writingcommunity	 1335983975613939712	117.78	.03	.0002547	1	28	1	3925
thrillerbooks	 1335983975613939712	117.78	.03	.0002547	1	28	1	3925
witch	 1335983975613939712	117.78	.03	.0002547	1	28	1	3925
authorsoftwitter	 1335983975613939712	130.83	.10	.0007643	3	28	3	3925
amazon	 1335983975613939712	137.38	.07	.0005095	2	28	2	3925
kindleunlimited	 1335983975613939712	137.38	.07	.0005095	2	28	2	3925
writerslift	 1335983975613939712	130.83	.10	.0007643	3	28	3	3925
poetry	 1335983975613939712	91.58	.07	.0007643	2	28	3	3925
poems	 1335983975613939712	137.38	.07	.0005095	2	28	2	3925
authorsoftwitter	 1335983975613939712	130.83	.10	.0007643	3	28	3	3925
amazon	 1335983975613939712	137.38	.07	.0005095	2	28	2	3925
kindleunlimited	 1335983975613939712	137.38	.07	.0005095	2	28	2	3925
writerslift	 1335983975613939712	130.83	.10	.0007643	3	28	3	3925
poetry	 1335983975613939712	91.58	.07	.0007643	2	28	3	3925
poems	 1335983975613939712	137.38	.07	.0005095	2	28	2	3925
momlife	 1335983975613939712	117.78	.03	.0002547	1	28	1	3925
mentalhealth	 1335983975613939712	117.78	.03	.0002547	1	28	1	3925
blogger	 1335983975613939712	117.78	.03	.0002547	1	28	1	3925
author	 1335983975613939712	109.90	.14	.0012738	4	28	5	3925
iot	 1387010761994682371	6.54	.01	.0015286	1	88	6	3925
helium	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
hotspot	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
miner	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
mesh	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
cbdc	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
tether	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
evergrande	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
hsbc	 1387010761994682371	39.25	.03	.0007643	3	88	3	3925
ucc	 1387010761994682371	26.16	.02	.0007643	2	88	3	3925
zeolite	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
truckers	 1387010761994682371	2.80	.01	.0035668	1	88	14	3925
govid	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
bs	 1387010761994682371	4.36	.01	.0022929	1	88	9	3925
carbondioxide	 1387010761994682371	39.25	.02	.0005095	2	88	2	3925
serco	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
cheers	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
carbondioxide	 1387010761994682371	39.25	.02	.0005095	2	88	2	3925
hsbc	 1387010761994682371	39.25	.03	.0007643	3	88	3	3925
uk	 1387010761994682371	1.05	.06	.0570700	6	88	224	3925
legalese	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
pedoeese	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
contracts	 1387010761994682371	19.62	.01	.0005095	1	88	2	3925
ucc	 1387010761994682371	26.16	.02	.0007643	2	88	3	3925
voidabinitio	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
legal	 1387010761994682371	12.66	.10	.0078980	9	88	31	3925
redsheilds	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
commonlaw	 1387010761994682371	39.25	.02	.0005095	2	88	2	3925
legal	 1387010761994682371	12.66	.10	.0078980	9	88	31	3925
satanic	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
legaldeathcult	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
10commandments	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
kjv	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
god	 1387010761994682371	19.62	.03	.0015286	3	88	6	3925
idsillegal	 1387010761994682371	3.56	.01	.0028025	1	88	11	3925
bccrss	 1387010761994682371	11.54	.05	.0043312	5	88	17	3925
truthbillboards	 1387010761994682371	7.85	.01	.0012738	1	88	5	3925
legalnamefraud	 1387010761994682371	3.92	.01	.0025477	1	88	10	3925
blackmailed	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
un	 1387010761994682371	.91	.02	.0219108	2	88	86	3925
bccrss	 1387010761994682371	11.54	.05	.0043312	5	88	17	3925
yourcrosstobear	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
bccrss	 1387010761994682371	11.54	.05	.0043312	5	88	17	3925
ukraine	 1387010761994682371	.98	.04	.0407643	4	88	160	3925
private	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
depop	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
carolwoods	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
autism	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
gcmaf	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
roman	 1387010761994682371	13.08	.01	.0007643	1	88	3	3925
empire	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
vatieeeeee	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
cityoflondinium	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
dcplc	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
ukraineunderattaсk	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
ukrainewar	 1387010761994682371	5.60	.01	.0017834	1	88	7	3925
ukrainerussianwar	 1387010761994682371	19.62	.01	.0005095	1	88	2	3925
ukriane	 1387010761994682371	3.56	.01	.0028025	1	88	11	3925
swiss	 1387010761994682371	39.25	.02	.0005095	2	88	2	3925
bees	 1387010761994682371	13.08	.01	.0007643	1	88	3	3925
bis	 1387010761994682371	19.62	.01	.0005095	1	88	2	3925
fed	 1387010761994682371	2.61	.01	.0038216	1	88	15	3925
ecb	 1387010761994682371	19.62	.01	.0005095	1	88	2	3925
boe	 1387010761994682371	19.62	.01	.0005095	1	88	2	3925
hsbc	 1387010761994682371	39.25	.03	.0007643	3	88	3	3925
legal	 1387010761994682371	12.66	.10	.0078980	9	88	31	3925
birthcertificatefraud	 1387010761994682371	19.62	.01	.0005095	1	88	2	3925
maximoflaw	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
godslaw	 1387010761994682371	39.25	.02	.0005095	2	88	2	3925
commonlaw	 1387010761994682371	39.25	.02	.0005095	2	88	2	3925
bccrss	 1387010761994682371	11.54	.05	.0043312	5	88	17	3925
bccrss	 1387010761994682371	11.54	.05	.0043312	5	88	17	3925
protectthechildren	 1387010761994682371	19.62	.01	.0005095	1	88	2	3925
ct	 1387010761994682371	1.40	.03	.0214012	3	88	84	3925
map	 1387010761994682371	19.62	.01	.0005095	1	88	2	3925
catch22	 1387010761994682371	19.62	.01	.0005095	1	88	2	3925
warning	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
legalisillegal	 1387010761994682371	19.62	.01	.0005095	1	88	2	3925
legalisnotlaw	 1387010761994682371	19.62	.01	.0005095	1	88	2	3925
lawoftheland	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
godslaw	 1387010761994682371	39.25	.02	.0005095	2	88	2	3925
colouroflaw	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
commerce	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
admiraltylaw	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
btc	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
elon	 1387010761994682371	7.85	.01	.0012738	1	88	5	3925
swissbankcoin	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
nowayhosai	 1387010761994682371	39.26	.01	.0002547	1	88	1	3925
longcovid	 139109800	29.43	.66	.0224203	4	6	88	3925
longcovid	 139109800	29.43	.66	.0224203	4	6	88	3925
childtaxcredit	 139109800	628.19	.16	.0002547	1	6	1	3925
longcovid	 139109800	29.43	.66	.0224203	4	6	88	3925
treatlongcovid	 139109800	209.34	.16	.0007643	1	6	3	3925
urgencyofebola	 139109800	628.19	.16	.0002547	1	6	1	3925
carrieantoinette	 14157134	981.54	.25	.0002547	1	4	1	3925
suegrayreport	 14157134	490.67	.25	.0005095	1	4	2	3925
partygate	 14157134	57.72	.25	.0043312	1	4	17	3925
pmqs	 14157134	245.31	.25	.0010191	1	4	4	3925
covid19	 1421835080813666306	12.58	.25	.0198726	1	4	78	3925
nicolasturgeon	 1421835080813666306	981.54	.25	.0002547	1	4	1	3925
covid	 1421835080813666306	11.19	.75	.0670063	3	4	263	3925
covidisnotover	 1421835080813666306	40.88	.25	.0061146	1	4	24	3925
getvaccinatednow	 14247236	130.83	.20	.0015286	1	5	6	3925
betofortexas	 14247236	112.14	.20	.0017834	1	5	7	3925
thethingswedoforlove	 14247236	785.23	.20	.0002547	1	5	1	3925
covidisnotover	 14247236	32.70	.20	.0061146	1	5	24	3925
gqp	 14247236	130.83	.20	.0015286	1	5	6	3925
johnsonouttoday	 14281853	981.54	.25	.0002547	1	4	1	3925
torysoooooo	 14281853	490.67	.25	.0005095	1	4	2	3925
johnsonout7	 14281853	245.31	.25	.0010191	1	4	4	3925
cpsc22	 14281853	981.54	.25	.0002547	1	4	1	3925
gottaloveher	 145499533	1295.64	.33	.0002547	1	3	1	3925
maryjblige	 145499533	1295.64	.33	.0002547	1	3	1	3925
legends	 145499533	1295.64	.33	.0002547	1	3	1	3925
lauterbachbleibt	 1460176204363972613	147.18	.30	.0020382	3	10	8	3925
lauterbachbleibt	 1460176204363972613	147.18	.30	.0020382	3	10	8	3925
lauterbachbleibt	 1460176204363972613	147.18	.30	.0020382	3	10	8	3925
diemaskebleibtauf	 1460176204363972613	87.22	.20	.0022929	2	10	9	3925
dievernunftsiegt	 1460176204363972613	392.61	.10	.0002547	1	10	1	3925
teamzuversicht	 1460176204363972613	392.61	.10	.0002547	1	10	1	3925
teamwissenschaft	 1460176204363972613	392.61	.10	.0002547	1	10	1	3925
teamlauterbach	 1460176204363972613	392.61	.10	.0002547	1	10	1	3925
wirwollenmaskenpflicht	 1460176204363972613	49.06	.10	.0020382	1	10	8	3925
diemaskebleibtauf	 1460176204363972613	87.22	.20	.0022929	2	10	9	3925
westandwithukraine	 1462548977367359490	39.25	.03	.0007643	1	26	3	3925
poland	 1462548977367359490	29.43	.03	.0010191	1	26	4	3925
slavaukranie	 1462548977367359490	117.78	.03	.0002547	1	26	1	3925
standwithukraine	 1462548977367359490	13.31	.19	.0142675	5	26	56	3925
standwithukraine️	 1462548977367359490	19.62	.03	.0015286	1	26	6	3925
zelensky	 1462548977367359490	9.05	.03	.0033121	1	26	13	3925
ukraine	 1462548977367359490	10.30	.42	.0407643	11	26	160	3925
russia	 1462548977367359490	3.47	.07	.0201273	2	26	79	3925
europe	 1462548977367359490	117.78	.03	.0002547	1	26	1	3925
russian	 1462548977367359490	3.46	.03	.0086624	1	26	34	3925
unitedwithukraine	 1462548977367359490	58.88	.03	.0005095	1	26	2	3925
stopputin	 1462548977367359490	27.47	.07	.0025477	2	26	10	3925
ligadeguerreros	 1462548977367359490	117.78	.03	.0002547	1	26	1	3925
glorytoukraine	 1462548977367359490	117.78	.03	.0002547	1	26	1	3925
slavaukraini	 1462548977367359490	11.77	.03	.0025477	1	26	10	3925
ukrainewillprevail	 1462548977367359490	117.78	.03	.0002547	1	26	1	3925
ukraine	 1462548977367359490	10.30	.42	.0407643	11	26	160	3925
standwithukraine	 1462548977367359490	13.31	.19	.0142675	5	26	56	3925
prayforukraine	 1462548977367359490	39.25	.03	.0007643	1	26	3	3925
stopputin	 1462548977367359490	27.47	.07	.0025477	2	26	10	3925
warcrimes	 1462548977367359490	23.55	.03	.0012738	1	26	5	3925
genocide	 1462548977367359490	19.62	.03	.0015286	1	26	6	3925
standwithukraine	 1462548977367359490	13.31	.19	.0142675	5	26	56	3925
friends	 1462548977367359490	117.78	.03	.0002547	1	26	1	3925
nato	 1462548977367359490	10.70	.03	.0028025	1	26	11	3925
intlcrimcourt	 1462548977367359490	117.78	.03	.0002547	1	26	1	3925
auspol	 14707794	7.03	.33	.0468789	1	3	184	3925
prayerroom	 14707794	215.88	.33	.0015286	1	3	6	3925
theweekly	 14707794	1295.64	.33	.0002547	1	3	1	3925
dajshadoll	 1471037967926018051	785.23	.20	.0002547	1	5	1	3925
dowehaveaproblem	 1471037967926018051	261.67	.20	.0007643	1	5	3	3925
neonazi	 1471037967926018051	785.23	.20	.0002547	1	5	1	3925
ukraine	 1471037967926018051	4.90	.20	.0407643	1	5	160	3925
britneyspears	 1471037967926018051	785.23	.20	.0002547	1	5	1	3925
me	 15480566	6.34	.33	.0519745	2	6	204	3925
longcovid	 15480566	29.43	.66	.0224203	4	6	88	3925
longcovid	 15480566	29.43	.66	.0224203	4	6	88	3925
mecfs	 15480566	89.71	.16	.0017834	1	6	7	3925
longcovid	 15480566	29.43	.66	.0224203	4	6	88	3925
longcovid	 15480566	29.43	.66	.0224203	4	6	88	3925
scotusstench	 15801906	235.52	.12	.0005095	1	8	2	3925
spotify	 15801906	117.75	.12	.0010191	1	8	4	3925
seizechelsea	 15801906	471.14	.12	.0002547	1	8	1	3925
demvoice1	 15801906	39.25	.12	.0030573	1	8	12	3925
seizetheyachts	 15801906	471.14	.12	.0002547	1	8	1	3925
benghazi	 15801906	471.14	.12	.0002547	1	8	1	3925
votemtgout	 15801906	471.14	.12	.0002547	1	8	1	3925
lockherup	 15801906	471.14	.12	.0002547	1	8	1	3925
lnpcorruptionparty	 159021888	30.52	.14	.0045859	1	7	18	3925
uselesslnp	 159021888	549.66	.14	.0002547	1	7	1	3925
uselesspm	 159021888	549.66	.14	.0002547	1	7	1	3925
calltheelectionffffffhead	 159021888	549.66	.14	.0002547	1	7	1	3925
qanda	 159021888	78.50	.14	.0017834	1	7	7	3925
auspol	 159021888	2.98	.14	.0468789	1	7	184	3925
australia	 159021888	54.95	.14	.0025477	1	7	10	3925
standwithukriane	 163018653	98.12	.25	.0025477	1	4	10	3925
slavaukraine	 163018653	327.09	.25	.0007643	1	4	3	3925
bucha	 163018653	327.09	.25	.0007643	1	4	3	3925
standwithukraine	 163018653	17.52	.25	.0142675	1	4	56	3925
fredvanvleet	 178580925	392.54	.20	.0005095	2	10	2	3925
nbaaiistar	 178580925	392.61	.10	.0002547	1	10	1	3925
zachlavine	 178580925	392.61	.10	.0002547	1	10	1	3925
nbaallstar	 178580925	392.51	.30	.0007643	3	10	3	3925
wethenorth	 178580925	392.61	.10	.0002547	1	10	1	3925
fredvanvleet	 178580925	392.54	.20	.0005095	2	10	2	3925
nbaallstar	 178580925	392.51	.30	.0007643	3	10	3	3925
big12	 178580925	392.61	.10	.0002547	1	10	1	3925
jamorant	 178580925	392.61	.10	.0002547	1	10	1	3925
nbaallstar	 178580925	392.51	.30	.0007643	3	10	3	3925
treatlongcovid	 18831926	52.33	.04	.0007643	1	21	3	3925
viruses	 18831926	157.04	.04	.0002547	1	21	1	3925
death	 18831926	9.81	.04	.0040764	1	21	16	3925
cancers	 18831926	78.50	.04	.0005095	1	21	2	3925
autoimmuneconditions	 18831926	157.04	.04	.0002547	1	21	1	3925
epsteinbarrvirus	 18831926	157.04	.04	.0002547	1	21	1	3925
multiplesclerosis	 18831926	78.50	.04	.0005095	1	21	2	3925
brain	 18831926	78.50	.04	.0005095	1	21	2	3925
spinalcord	 18831926	157.04	.04	.0002547	1	21	1	3925
covid	 18831926	2.83	.19	.0670063	4	21	263	3925
deletespotify	 18831926	78.50	.04	.0005095	1	21	2	3925
denmark	 18831926	52.33	.04	.0007643	1	21	3	3925
pfizer	 18831926	52.33	.04	.0007643	1	21	3	3925
standwithukraine	 18831926	2.80	.04	.0142675	1	21	56	3925
ba2	 18831926	22.42	.04	.0017834	1	21	7	3925
covid19	 18831926	2.01	.04	.0198726	1	21	78	3925
zerocovid	 18831926	52.33	.04	.0007643	1	21	3	3925
boycottcbs	 18831926	157.04	.04	.0002547	1	21	1	3925
trump	 18831926	3.73	.04	.0107006	1	21	42	3925
rightwing	 18831926	157.04	.04	.0002547	1	21	1	3925
maskup	 18831926	22.42	.04	.0017834	1	21	7	3925
merrickgarland	 19084896	259.06	.33	.0012738	1	3	5	3925
Яepublicantraitors	 19084896	1295.64	.33	.0002547	1	3	1	3925
goptherussianparty	 19084896	431.76	.33	.0007643	1	3	3	3925
shameonrebuplicans	 19739126	235.57	.06	.0002547	1	15	1	3925
shameonmccarthy	 19739126	235.57	.06	.0002547	1	15	1	3925
kevinmccarthyisathreattoamericandemocracy	 19739126	235.57	.06	.0002547	1	15	1	3925
votingrightsact	 19739126	58.87	.06	.0010191	1	15	4	3925
ushistory	 19739126	170.09	.13	.0007643	2	15	3	3925
votingrights	 19739126	42.52	.13	.0030573	2	15	12	3925
ushistory	 19739126	170.09	.13	.0007643	2	15	3	3925
lockhimup	 19739126	235.57	.06	.0002547	1	15	1	3925
kevinmccarthyresign	 19739126	235.57	.06	.0002547	1	15	1	3925
kevinmccarthylowlif	 19739126	235.57	.06	.0002547	1	15	1	3925
mccarthyisaweakman	 19739126	235.57	.06	.0002547	1	15	1	3925
insurrectionist	 19739126	235.57	.06	.0002547	1	15	1	3925
insurrectionhasconsequences	 19739126	235.57	.06	.0002547	1	15	1	3925
trumpcoupattempt	 19739126	78.50	.06	.0007643	1	15	3	3925
republicansaretraitors	 19739126	235.57	.06	.0002547	1	15	1	3925
covid	 20052899	11.19	.75	.0670063	3	4	263	3925
longcovid	 20052899	22.30	.50	.0224203	2	4	88	3925
researchlongcovid	 20052899	981.54	.25	.0002547	1	4	1	3925
getmaskednow	 20052899	981.54	.25	.0002547	1	4	1	3925
alboforpm	 20559705	13.36	.16	.0119745	1	6	47	3925
lnpfail	 20559705	185.03	.33	.0017834	2	6	7	3925
