hashtag	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset
libspill	 76842602	471.14	.12	.0002547	1	8	1	3925
alboforpm	 793331593	13.36	.16	.0119745	1	6	47	3925
votejoshout	 793331593	104.67	.16	.0015286	1	6	6	3925
kooyongvotes	 793331593	157.00	.16	.0010191	1	6	4	3925
kooyong	 793331593	218.06	.50	.0022929	3	6	9	3925
lnpcorruptionparty	 793331593	34.88	.16	.0045859	1	6	18	3925
mon4kooyong	 793331593	628.19	.16	.0002547	1	6	1	3925
indue	 795857631571156992	125.60	.16	.0012738	1	6	5	3925
lnp	 795857631571156992	6.40	.16	.0249681	1	6	98	3925
cashlesswelfarecard	 795857631571156992	314.03	.16	.0005095	1	6	2	3925
auspol	 795857631571156992	3.41	.16	.0468789	1	6	184	3925
ausvotes2022	 795857631571156992	52.33	.16	.0030573	1	6	12	3925
ausvotes	 795857631571156992	39.25	.33	.0084076	2	6	33	3925
thereishope	 798953701972938752	549.66	.14	.0002547	1	7	1	3925
votebluetosaveamerica	 798953701972938752	68.68	.14	.0020382	1	7	8	3925
beaheroforvotingrights	 798953701972938752	366.34	.28	.0007643	2	7	3	3925
votersuppression	 798953701972938752	549.66	.14	.0002547	1	7	1	3925
beaheroforvotingrights	 798953701972938752	366.34	.28	.0007643	2	7	3	3925
onev1	 798953701972938752	137.37	.14	.0010191	1	7	4	3925
demcasttx	 798953701972938752	549.66	.14	.0002547	1	7	1	3925
goptraitorstodemocracy	 843433646962999296	785.23	.20	.0002547	1	5	1	3925
tuckercarlsonrussianrrrrrret	 843433646962999296	785.23	.20	.0002547	1	5	1	3925
demvoice1	 843433646962999296	130.83	.40	.0030573	2	5	12	3925
gop	 843433646962999296	62.80	.40	.0063694	2	5	25	3925
demvoice1	 843433646962999296	130.83	.40	.0030573	2	5	12	3925
longcovid	 86626845	8.02	.18	.0224203	2	11	88	3925
covid19	 86626845	22.64	.45	.0198726	5	11	78	3925
covid19	 86626845	22.64	.45	.0198726	5	11	78	3925
covid19	 86626845	22.64	.45	.0198726	5	11	78	3925
influenza	 86626845	353.35	.09	.0002547	1	11	1	3925
covid19	 86626845	22.64	.45	.0198726	5	11	78	3925
mecfs	 86626845	50.46	.09	.0017834	1	11	7	3925
longcovid	 86626845	8.02	.18	.0224203	2	11	88	3925
covid19	 86626845	22.64	.45	.0198726	5	11	78	3925
covidisnotover	 86626845	14.71	.09	.0061146	1	11	24	3925
covid	 86626845	12.08	.81	.0670063	9	11	263	3925
goldsteinvotes	 870629200348274688	235.52	.12	.0005095	1	8	2	3925
joshiefromaccounts	 870629200348274688	471.14	.12	.0002547	1	8	1	3925
auspol	 870629200348274688	5.33	.25	.0468789	2	8	184	3925
kooyongcrook	 870629200348274688	471.14	.12	.0002547	1	8	1	3925
kooyong	 870629200348274688	109.03	.25	.0022929	2	8	9	3925
treasurer	 870629200348274688	471.14	.12	.0002547	1	8	1	3925
murdoch	 870629200348274688	39.25	.12	.0030573	1	8	12	3925
auspol	 870629200348274688	5.33	.25	.0468789	2	8	184	3925
gopseditioustraitors	 878284831	431.88	.11	.0002547	1	9	1	3925
takeoutsinema	 878284831	431.88	.11	.0002547	1	9	1	3925
nomoresin	 878284831	431.88	.11	.0002547	1	9	1	3925
boycottwalgreens	 878284831	215.89	.11	.0005095	1	9	2	3925
putin	 878284831	8.63	.11	.0127388	1	9	50	3925
istandwithukriane	 878284831	143.92	.11	.0007643	1	9	3	3925
candyno	 878284831	431.88	.11	.0002547	1	9	1	3925
istandwithukraine	 878284831	28.78	.11	.0038216	1	9	15	3925
goptherussianpartyoftraitors	 878284831	215.89	.11	.0005095	1	9	2	3925
votebluein2022	 879147821915615233	61.05	.14	.0022929	1	7	9	3925
trumpcoupattempt	 879147821915615233	183.17	.14	.0007643	1	7	3	3925
maliciousdisinformationcampaigns	 879147821915615233	549.66	.14	.0002547	1	7	1	3925
mdc	 879147821915615233	549.66	.14	.0002547	1	7	1	3925
trumpcult	 879147821915615233	549.66	.14	.0002547	1	7	1	3925
trumprally	 879147821915615233	183.17	.14	.0007643	1	7	3	3925
grifter	 879147821915615233	549.66	.14	.0002547	1	7	1	3925
tfg	 926164634570067968	196.26	.25	.0012738	2	8	5	3925
january6thinsurrection	 926164634570067968	235.52	.12	.0005095	1	8	2	3925
dfg	 926164634570067968	471.14	.12	.0002547	1	8	1	3925
biggestloser	 926164634570067968	471.14	.12	.0002547	1	8	1	3925
tfg	 926164634570067968	196.26	.25	.0012738	2	8	5	3925
putinspuppet	 926164634570067968	117.75	.12	.0010191	1	8	4	3925
realitywinner	 926164634570067968	94.20	.12	.0012738	1	8	5	3925
goptreason	 926164634570067968	471.14	.12	.0002547	1	8	1	3925
horriblehorribleperson	 92932981	392.61	.10	.0002547	1	10	1	3925
libertarian	 92932981	392.61	.10	.0002547	1	10	1	3925
freedumbery	 92932981	392.61	.10	.0002547	1	10	1	3925
auspol	 92932981	6.39	.30	.0468789	3	10	184	3925
covid19	 92932981	5.03	.10	.0198726	1	10	78	3925
clivepalmer	 92932981	392.61	.10	.0002547	1	10	1	3925
scotttheliar	 92932981	392.61	.10	.0002547	1	10	1	3925
auspol	 92932981	6.39	.30	.0468789	3	10	184	3925
auspol	 92932981	6.39	.30	.0468789	3	10	184	3925
ausvotes	 92932981	11.89	.10	.0084076	1	10	33	3925
mcqueenmonday	 938494109844729856	431.88	.11	.0002547	1	9	1	3925
throwbackthursday	 938494109844729856	215.89	.11	.0005095	1	9	2	3925
flashbackfriday	 938494109844729856	431.79	.22	.0005095	2	9	2	3925
ago	 938494109844729856	107.93	.11	.0010191	1	9	4	3925
anexprience	 938494109844729856	431.88	.11	.0002547	1	9	1	3925
jimclark	 938494109844729856	431.88	.11	.0002547	1	9	1	3925
valeriethompson	 938494109844729856	431.88	.11	.0002547	1	9	1	3925
caturday	 938494109844729856	215.89	.11	.0005095	1	9	2	3925
flashbackfriday	 938494109844729856	431.79	.22	.0005095	2	9	2	3925
johnsonout26	 93880122	392.54	.20	.0005095	1	5	2	3925
wokingham	 93880122	785.23	.20	.0002547	1	5	1	3925
berkshire	 93880122	785.23	.20	.0002547	1	5	1	3925
costoflivingcrisis	 93880122	261.67	.20	.0007643	1	5	3	3925
brexithasfailed	 93880122	261.67	.20	.0007643	1	5	3	3925
firedesantis2022	 950563187296030721	628.19	.16	.0002547	1	6	1	3925
floridataxpayers	 950563187296030721	628.19	.16	.0002547	1	6	1	3925
desantis	 950563187296030721	490.62	.50	.0010191	3	6	4	3925
florida	 950563187296030721	215.88	.33	.0015286	2	6	6	3925
regeneron	 950563187296030721	628.19	.16	.0002547	1	6	1	3925
dictatordesantis	 950563187296030721	628.19	.16	.0002547	1	6	1	3925
lnpcorruptionparty	 95091601	13.08	.06	.0045859	1	16	18	3925
scottythefailure	 95091601	47.10	.06	.0012738	1	16	5	3925
votejoshout	 95091601	39.25	.06	.0015286	1	16	6	3925
auspoll	 95091601	58.87	.06	.0010191	1	16	4	3925
insiders	 95091601	15.70	.06	.0038216	1	16	15	3925
hailtothechief	 95091601	235.57	.06	.0002547	1	16	1	3925
agedcare	 95091601	47.10	.06	.0012738	1	16	5	3925
covid19au	 95091601	47.10	.06	.0012738	1	16	5	3925
auspol	 95091601	5.33	.25	.0468789	4	16	184	3925
ausvotes	 95091601	7.13	.06	.0084076	1	16	33	3925
auspol	 95091601	5.33	.25	.0468789	4	16	184	3925
comparethepair	 95091601	235.57	.06	.0002547	1	16	1	3925
auspoi	 95091601	78.50	.06	.0007643	1	16	3	3925
abcbias	 95091601	117.76	.06	.0005095	1	16	2	3925
lnp	 95091601	4.80	.12	.0249681	2	16	98	3925
auspol	 95091601	5.33	.25	.0468789	4	16	184	3925
mediapropaganda	 9609622	628.19	.16	.0002547	1	6	1	3925
mediareforms	 9609622	628.19	.16	.0002547	1	6	1	3925
wapol	 9609622	314.03	.16	.0005095	1	6	2	3925
albo4pm	 9609622	104.67	.16	.0015286	1	6	6	3925
auspol	 9609622	3.41	.16	.0468789	1	6	184	3925
ausvotes2022	 9609622	52.33	.16	.0030573	1	6	12	3925
ableg	 977204844	49.06	.25	.0050955	1	4	20	3925
bc	 977204844	12.26	.25	.0203821	1	4	80	3925
covid19ab	 977204844	327.09	.25	.0007643	1	4	3	3925
covid	 977204844	7.46	.50	.0670063	2	4	263	3925
